City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Inhambane,MZ,-23.865,35.3833,68.22,89,26,3.13,scattered clouds
296,Amambai,BR,-23.1042,-55.2258,62.11,80,1,6.15,clear sky
297,Houma,US,29.5958,-90.7195,87.01,85,100,3.44,overcast clouds
298,Cockburn Town,TC,21.4612,-71.1419,81.77,78,0,19.39,clear sky
299,Arman,RU,59.7,150.1667,66.02,77,100,6.17,overcast clouds
300,Kiama,AU,-34.6833,150.8667,55.38,70,92,16.06,light rain
301,Ahipara,NZ,-35.1667,173.1667,62.87,82,100,10.07,overcast clouds
302,Dalen,NL,52.6992,6.7556,69.06,77,17,4.83,few clouds
303,Kamenka,RU,51.3223,42.7678,53.82,94,4,11.68,clear sky
304,Liverpool,GB,53.4106,-2.9779,79.29,56,0,5.75,clear sky
305,Loandjili,CG,-4.7561,11.8578,71.71,94,75,2.3,broken clouds
306,Vao,NC,-22.6667,167.4833,73.9,81,100,11.54,overcast clouds
307,Goure,NE,13.9835,10.2704,78.03,66,56,11.92,broken clouds
308,Kerrville,US,30.0474,-99.1403,97.45,33,0,12.66,clear sky
309,Xichang,CN,27.8964,102.2634,71.8,90,100,2.04,light rain
310,Shubarkuduk,KZ,49.1447,56.4872,82.94,26,18,8.86,few clouds
311,Abu Dhabi,AE,24.4667,54.3667,96.91,49,0,6.91,clear sky
312,Kavieng,PG,-2.5744,150.7967,84.88,67,100,11.41,light rain
313,Lompoc,US,34.6391,-120.4579,79.84,60,0,14.97,clear sky
314,Kaeo,NZ,-35.1,173.7833,65.32,85,100,10.54,light rain
315,Mangrol,IN,21.1167,70.1167,80.76,85,100,13.94,overcast clouds
316,Vardo,NO,70.3705,31.1107,53.58,87,86,0.0,overcast clouds
317,Perehonivka,UA,48.5355,30.5192,54.88,70,6,4.43,clear sky
318,Dahanu,IN,19.9667,72.7333,78.55,88,100,6.04,overcast clouds
319,Northam,GB,51.0333,-4.2167,72.5,42,45,14.85,scattered clouds
320,Kaduy,RU,59.2,37.15,53.33,85,100,5.12,light rain
321,Provideniya,RU,64.3833,-173.3,44.71,81,75,18.01,broken clouds
322,Khorinsk,RU,52.1657,109.7726,76.87,36,100,3.71,overcast clouds
323,Brae,GB,60.3964,-1.353,56.07,94,100,10.16,overcast clouds
324,Wasilla,US,61.5814,-149.4394,65.62,71,100,5.75,overcast clouds
325,Egvekinot,RU,66.3167,-179.1667,51.8,45,100,9.06,overcast clouds
326,Nara,JP,34.6851,135.8049,83.57,88,100,2.64,moderate rain
327,Petauke,ZM,-14.2426,31.3253,58.96,76,92,8.39,overcast clouds
328,Alofi,NU,-19.0595,-169.9187,78.69,73,75,19.57,broken clouds
329,Atambua,ID,-9.1061,124.8925,74.95,52,85,5.57,overcast clouds
330,Pidhorodne,UA,48.5753,35.1068,56.34,75,4,5.14,clear sky
331,Cordoba,AR,-31.4135,-64.1811,49.75,41,0,9.22,clear sky
332,Flinders,AU,-34.5833,150.8552,55.18,65,78,11.99,light rain
333,Loa Janan,ID,-0.583,117.095,82.13,74,100,0.87,overcast clouds
334,Imbituba,BR,-28.24,-48.6703,59.09,95,100,6.26,overcast clouds
335,Klaksvik,FO,62.2266,-6.589,50.92,88,79,15.17,broken clouds
336,Beringovskiy,RU,63.05,179.3167,55.33,51,8,20.96,clear sky
337,Marathon,US,44.9,-89.7668,87.04,74,75,20.71,broken clouds
338,Shihezi,CN,44.3,86.0333,78.35,36,98,3.71,overcast clouds
339,Nenjiang,CN,49.1833,125.2167,76.14,64,19,4.47,few clouds
340,Sayyan,YE,15.1718,44.3244,65.14,41,97,3.62,overcast clouds
341,Olafsvik,IS,64.8945,-23.7142,52.88,78,100,8.68,overcast clouds
342,Lucapa,AO,-8.4192,20.7447,63.5,42,9,4.85,clear sky
343,Sundsvall,SE,62.3913,17.3063,53.96,90,75,4.61,broken clouds
344,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,75,7.07,broken clouds
